S. No.    Repo Name                                                   Product Type                            Count     
========================================================================================================================
1         ODXP-DPLOY--odx-config-abt-deploy                           CONSUMER_DAO                            8         
2         ODXP-DPLOY--odx-config-acu-deploy                           CREDIT_CARD_SELF_SERVICE                2         
3         ODXP-DPLOY--odx-config-anb-deploy                           CREDIT_CARD_SELF_SERVICE                3         
4         ODXP-DPLOY--odx-config-anb-deploy                           SMB_CREDIT_CARD                         1         
5         ODXP-DPLOY--odx-config-apc-deploy                           CREDIT_CARD_SELF_SERVICE                2         
6         ODXP-DPLOY--odx-config-apx-deploy                           SMB_CREDIT_CARD                         12        
7         ODXP-DPLOY--odx-config-bof-deploy                           CONSUMER_DAO                            7         
8         ODXP-DPLOY--odx-config-brb-deploy                           CONSUMER_DAO                            7         
9         ODXP-DPLOY--odx-config-brb-deploy                           SMB_DAO                                 6         
10        ODXP-DPLOY--odx-config-cat-deploy                           COGNITIVE                               1         
11        ODXP-DPLOY--odx-config-cat-deploy                           CONSUMER_DAO                            2         
12        ODXP-DPLOY--odx-config-cat-deploy                           CONSUMER_FRAUD_SCORE                    1         
13        ODXP-DPLOY--odx-config-cat-deploy                           CONSUMER_IDENTITY_VER                   1         
14        ODXP-DPLOY--odx-config-cat-deploy                           CONSUMER_INCOME_VER                     1         
15        ODXP-DPLOY--odx-config-cat-deploy                           CONSUMER_UIL                            1         
16        ODXP-DPLOY--odx-config-cat-deploy                           CREDIT_CARD                             1         
17        ODXP-DPLOY--odx-config-cat-deploy                           CREDIT_CARD_SELF_SERVICE                1         
18        ODXP-DPLOY--odx-config-cat-deploy                           DEV_LEARNING                            1         
19        ODXP-DPLOY--odx-config-cat-deploy                           GENERIC_CONSUMER_PRODUCT                1         
20        ODXP-DPLOY--odx-config-cat-deploy                           SMB_CREDIT_CARD                         1         
21        ODXP-DPLOY--odx-config-cat-deploy                           SMB_DAO                                 2         
22        ODXP-DPLOY--odx-config-cat-deploy                           SMB_LOC                                 2         
23        ODXP-DPLOY--odx-config-cat-deploy                           SMB_TL                                  2         
24        ODXP-DPLOY--odx-config-cat-deploy                           UIL                                     1         
25        ODXP-DPLOY--odx-config-cat-deploy                           UIL_JOINT                               1         
26        ODXP-DPLOY--odx-config-ccc-deploy                           CREDIT_CARD                             1         
27        ODXP-DPLOY--odx-config-cfr-deploy                           CONSUMER_DAO                            7         
28        ODXP-DPLOY--odx-config-cfr-deploy                           SMB_DAO                                 4         
29        ODXP-DPLOY--odx-config-cob-deploy                           CREDIT_CARD_SELF_SERVICE                6         
30        ODXP-DPLOY--odx-config-cob-deploy                           SMB_CREDIT_CARD                         12        
31        ODXP-DPLOY--odx-config-crl-deploy                           CONSUMER_DAO                            7         
32        ODXP-DPLOY--odx-config-crl-deploy                           SMB_DAO                                 9         
33        ODXP-DPLOY--odx-config-ctr-deploy                           CREDIT_CARD_SELF_SERVICE                3         
34        ODXP-DPLOY--odx-config-ctr-deploy                           SMB_CREDIT_CARD                         2         
35        ODXP-DPLOY--odx-config-dev-deploy                           CONSUMER_DAO                            8         
36        ODXP-DPLOY--odx-config-dev-deploy                           CONSUMER_UIL                            3         
37        ODXP-DPLOY--odx-config-dev-deploy                           CREDIT_CARD                             6         
38        ODXP-DPLOY--odx-config-dev-deploy                           CREDIT_CARD_SELF_SERVICE                13        
