S. No.    Repo Name                                                   Total Products 
=====================================================================================
1         ODXP-DPLOY--odx-config-abt-deploy                           8              
2         ODXP-DPLOY--odx-config-acu-deploy                           2              
3         ODXP-DPLOY--odx-config-anb-deploy                           4              
4         ODXP-DPLOY--odx-config-apc-deploy                           2              
5         ODXP-DPLOY--odx-config-apx-deploy                           12             
6         ODXP-DPLOY--odx-config-bof-deploy                           7              
7         ODXP-DPLOY--odx-config-brb-deploy                           13             
8         ODXP-DPLOY--odx-config-cat-deploy                           20             
9         ODXP-DPLOY--odx-config-ccc-deploy                           1              
10        ODXP-DPLOY--odx-config-cfr-deploy                           11             
11        ODXP-DPLOY--odx-config-cob-deploy                           18             
12        ODXP-DPLOY--odx-config-crl-deploy                           16             
13        ODXP-DPLOY--odx-config-ctr-deploy                           5              
14        ODXP-DPLOY--odx-config-dev-deploy                           57             
15        ODXP-DPLOY--odx-config-dmo-deploy                           2              
16        ODXP-DPLOY--odx-config-fib-deploy                           6              
17        ODXP-DPLOY--odx-config-fis-deploy                           25             
18        ODXP-DPLOY--odx-config-fld-deploy                           6              
19        ODXP-DPLOY--odx-config-fng-deploy                           13             
20        ODXP-DPLOY--odx-config-fsf-deploy                           1              
21        ODXP-DPLOY--odx-config-gbt-deploy                           12             
22        ODXP-DPLOY--odx-config-gdn-deploy                           5              
23        ODXP-DPLOY--odx-config-grt-deploy                           2              
24        ODXP-DPLOY--odx-config-hbm-deploy                           6              
25        ODXP-DPLOY--odx-config-jnb-deploy                           1              
26        ODXP-DPLOY--odx-config-lbt-deploy                           1              
27        ODXP-DPLOY--odx-config-lsb-deploy                           10             
28        ODXP-DPLOY--odx-config-mfc-deploy                           3              
29        ODXP-DPLOY--odx-config-mlb-deploy                           6              
30        ODXP-DPLOY--odx-config-msc-deploy                           3              
31        ODXP-DPLOY--odx-config-nel-deploy                           1              
32        ODXP-DPLOY--odx-config-oao-deploy                           21             
33        ODXP-DPLOY--odx-config-pfb-deploy                           34             
34        ODXP-DPLOY--odx-config-pod-deploy                           1              
35        ODXP-DPLOY--odx-config-qa1-deploy                           1              
36        ODXP-DPLOY--odx-config-qa2-deploy                           57             
37        ODXP-DPLOY--odx-config-qa3-deploy                           8              
38        ODXP-DPLOY--odx-config-qa4-deploy                           10             
39        ODXP-DPLOY--odx-config-qa5-deploy                           15             
40        ODXP-DPLOY--odx-config-qat-deploy                           44             
41        ODXP-DPLOY--odx-config-rvc-deploy                           14             
42        ODXP-DPLOY--odx-config-sbu-deploy                           4              
43        ODXP-DPLOY--odx-config-slt-deploy                           2              
44        ODXP-DPLOY--odx-config-sol-deploy                           9              
45        ODXP-DPLOY--odx-config-tfc-deploy                           3              
46        ODXP-DPLOY--odx-config-umd-deploy                           2              
47        ODXP-DPLOY--odx-config-uoi-deploy                           18             
48        ODXP-DPLOY--odx-config-vnb-deploy                           16             
